symbol,base_currency,quote_currency,settlement_currency,order_size_increment,price_tick_size,min_notional,open_at,expiry_at,asset_kind,market_kind,position_limit,price_bands_width,max_slippage,max_open_orders,max_funding_rate,delta1_cross_margin_params,price_feed_id,oracle_ewma_factor,max_order_size,max_funding_rate_change,max_tob_spread,interest_rate,clamp_rate,funding_period_hours,tags,iv_bands_width,option_cross_margin_params,option_type,strike_price
BTC-USD-117000-P,BTC,USD,USDC,0.001,0.1,100,1752221730591,0,PERP_OPTION,cross,30,0.05,0.5,150,0,,,0.20000046249626113,2,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,117000
SOL-USD-135-P,SOL,USD,USDC,1,0.001,100,1748679322207,0,PERP_OPTION,cross,15000,0.05,0.5,150,0,,,0.20000046249626113,10000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,135
SEI-USD-PERP,SEI,USD,USDC,1,0.000001,50,1715841000000,0,PERP,cross,2500000,0.15,0.002,75,0.05,"{'imf_base': '0.1', 'imf_shift': '0', 'imf_factor': '0', 'mmf_factor': '0.5'}",6cUuAyAX3eXoiWkjFF77RQBEUF15AAMQ7d1hm4EPd3tv,0.20000046249626113,600000,0.0005,0.02,0.0001,0.0005,8,['LAYER-1'],,,,
ETH-USD-2400-P,ETH,USD,USDC,0.1,0.01,100,1748504523455,0,PERP_OPTION,cross,1000,0.05,0.5,150,0,,,0.20000046249626113,1000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,2400
JUP-USD-PERP,JUP,USD,USDC,1,0.000001,50,1715752800000,0,PERP,cross,2000000,0.15,0.002,75,0.05,"{'imf_base': '0.1', 'imf_shift': '0', 'imf_factor': '0', 'mmf_factor': '0.5'}",g6eRCbboSwK4tSWngn773RCMexr1APQr4uA9bGZBYfo,0.20000046249626113,500000,0.0005,0.02,0.0001,0.0005,8,['DEFI'],,,,
ETH-USD-3450-P,ETH,USD,USDC,0.1,0.01,100,1752740155211,0,PERP_OPTION,cross,1000,0.05,0.5,150,0,,,0.20000046249626113,1000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,3450
SPX-USD-PERP,SPX,USD,USDC,0.1,0.00001,50,1750140000000,0,PERP,cross,680000,0.2,0.005,50,0.05,"{'imf_base': '0.2', 'imf_shift': '0', 'imf_factor': '0', 'mmf_factor': '0.5'}",9tbDrj38FdTimvTiyzLKuMsx56RHDeMk3LrUuFMQ7Z69,0.14999987905913592,200000,0.0005,0.01,0.0001,0.0005,8,['MEME'],,,,
SOPH-USD-PERP,SOPH,USD,USDC,1,0.000001,50,1748449200000,0,PERP,cross,20000000,0.2,0.005,50,0.05,"{'imf_base': '0.2', 'imf_shift': '0', 'imf_factor': '0', 'mmf_factor': '0.5'}",4eJ3kM9Ki7mphqV5C2PimyUjMhSMpgks9Udeku98Q2Xx,0.14999987905913592,40000000,0.0005,0.01,0.0001,0.0005,8,['AI'],,,,
ETH-USD-3750-P,ETH,USD,USDC,0.1,0.01,100,1752826555622,0,PERP_OPTION,cross,1000,0.05,0.5,150,0,,,0.20000046249626113,1000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,3750
ETH-USD-4000-C,ETH,USD,USDC,0.1,0.01,100,1752740155210,0,PERP_OPTION,cross,1000,0.05,0.5,150,0,,,0.20000046249626113,1000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",CALL,4000
ETH-USD-3200-P,ETH,USD,USDC,0.1,0.01,100,1748504523455,0,PERP_OPTION,cross,1000,0.05,0.5,150,0,,,0.20000046249626113,1000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,3200
BTC-USD-110000-C,BTC,USD,USDC,0.001,0.1,100,1748500890921,0,PERP_OPTION,cross,30,0.05,0.5,150,0,,,0.20000046249626113,2,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",CALL,110000
HYPE-USD-34-P,HYPE,USD,USDC,1,0.001,100,1747982471703,0,PERP_OPTION,cross,50000,0.05,0.5,150,0,,,0.20000046249626113,100000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.1', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.05', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,34
