symbol,base_currency,quote_currency,settlement_currency,order_size_increment,price_tick_size,min_notional,open_at,expiry_at,asset_kind,market_kind,position_limit,price_bands_width,max_slippage,max_open_orders,max_funding_rate,delta1_cross_margin_params,price_feed_id,oracle_ewma_factor,max_order_size,max_funding_rate_change,max_tob_spread,interest_rate,clamp_rate,funding_period_hours,tags,iv_bands_width,option_cross_margin_params,option_type,strike_price
HYPE-USD-PERP,HYPE,USD,USDC,0.01,0.0001,50,1733292000000,0,PERP,cross,100000,0.2,0.002,75,0.05,"{'imf_base': '0.05', 'imf_shift': '0', 'imf_factor': '0', 'mmf_factor': '0.5'}",5UVhvt9NzyyVuVaePfkaEaHD6hoD9Dw7PFUCfRoMh8i6,0.14999987905913592,4000,0.0005,0.02,0.0001,0.0005,8,['DEFI'],,,,
BTC-USD-130000-C,BTC,USD,USDC,0.001,0.1,100,1748498455409,0,PERP_OPTION,cross,30,0.05,0.5,150,0,,,0.20000046249626113,2,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",CALL,130000
BTC-USD-110000-P,BTC,USD,USDC,0.001,0.1,100,1748500890921,0,PERP_OPTION,cross,30,0.05,0.5,150,0,,,0.20000046249626113,2,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,110000
ETH-USD-3950-P,ETH,USD,USDC,0.1,0.01,100,1753085743339,0,PERP_OPTION,cross,1000,0.05,0.5,150,0,,,0.20000046249626113,1000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,3950
BTC-USD-119000-C,BTC,USD,USDC,0.001,0.1,100,1752221730592,0,PERP_OPTION,cross,30,0.05,0.5,150,0,,,0.20000046249626113,2,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",CALL,119000
BTC-USD-104000-C,BTC,USD,USDC,0.001,0.1,100,1748500890921,0,PERP_OPTION,cross,30,0.05,0.5,150,0,,,0.20000046249626113,2,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",CALL,104000
BTC-USD-116000-P,BTC,USD,USDC,0.001,0.1,100,1752135333394,0,PERP_OPTION,cross,30,0.05,0.5,150,0,,,0.20000046249626113,2,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,116000
WLD-USD-PERP,WLD,USD,USDC,0.1,0.00001,50,1713754800000,0,PERP,cross,3200000,0.15,0.002,75,0.05,"{'imf_base': '0.1', 'imf_shift': '0', 'imf_factor': '0', 'mmf_factor': '0.5'}",FSNRFdYsxKwb7Pqx8gxiVpaYRCkuFkSSTcfxXR34dPcu,0.20000046249626113,50000,0.0005,0.02,0.0001,0.0005,8,['AI'],,,,
SOL-USD-210-C,SOL,USD,USDC,1,0.001,100,1753172142134,0,PERP_OPTION,cross,15000,0.05,0.5,150,0,,,0.20000046249626113,10000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",CALL,210
BTC-USD-109000-P,BTC,USD,USDC,0.001,0.1,100,1748500890921,0,PERP_OPTION,cross,30,0.05,0.5,150,0,,,0.20000046249626113,2,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,109000
kBONK-USD-PERP,kBONK,USD,USDC,0.1,0.000001,50,1714716000000,0,PERP,cross,70000000,0.15,0.002,75,0.05,"{'imf_base': '0.1', 'imf_shift': '0', 'imf_factor': '0', 'mmf_factor': '0.5'}",8ihFLu5FimgTQ1Unh4dVyEHUGodJ5gJQCrQf4KUVB9bN,0.20000046249626113,17000000,0.0005,0.02,0.0001,0.0005,8,['MEME'],,,,
kPEPE-USD-PERP,kPEPE,USD,USDC,1,0.0000001,50,1714716000000,0,PERP,cross,370000000,0.1,0.002,75,0.05,"{'imf_base': '0.05', 'imf_shift': '0', 'imf_factor': '0', 'mmf_factor': '0.5'}",FSfxunDmjjbDV2QxpyxFCAPKmYJHSLnLuvQXDLkMzLBm,0.20000046249626113,120000000,0.0005,0.02,0.0001,0.0005,8,['MEME'],,,,
BTC-USD-126000-C,BTC,USD,USDC,0.001,0.1,100,1752480958597,0,PERP_OPTION,cross,30,0.05,0.5,150,0,,,0.20000046249626113,2,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",CALL,126000
